satellite,s2_bands,l8_bands,num_points,year,month,crop_mask,weighted_avg,rows_initial,rows_end,train_n,test_n,val_R2,train_R2,train_r,demean_R2,demean_r,name
sentinel,2-3-4,NA,15000,2016-2018,all,no,no,44865,39573,120,30,0.55,0.71,0.85,0.28,0.59,
sentinel,2-3-4,NA,15000,2016-2018,all,yes,no,13914,11478,110,28,0.6,0.83,0.91,-0.08,0.53,
sentinel,2-3-4,NA,15000,2016-2018,all,yes,yes,13914,11478,110,28,0.36,0.8,0.9,0.3,0.69,
sentinel,2-3-4,NA,15000,2016-2018,4-9,no,no,44865,44865,172,44,0.36,0.67,0.82,0.31,0.63,
sentinel,2-3-4,NA,15000,2016-2018,4-9,yes,no,13914,13914,172,44,0.43,0.69,0.83,0.08,0.54,
sentinel,2-3-4,NA,15000,2016-2018,4-9,yes,yes,13914,13914,172,44,0.21,0.52,0.72,0.09,0.48,
sentinel,2-3-4-8,NA,15000,2016-2018,all,no,no,44865,38610,115,29,0.52,0.75,0.87,0.19,0.52,
sentinel,2-3-4-8,NA,15000,2016-2018,all,yes,no,13866,10908,103,26,0.45,0.85,0.92,0.26,0.61,
sentinel,2-3-4-8,NA,15000,2016-2019,all,yes,yes,13866,10908,103,26,0.43,0.83,0.91,0.15,0.52,
sentinel,2-3-4-8,NA,15000,2016-2018,4-9,no,no,44865,44865,172,44,0.39,0.65,0.81,0.19,0.49,
sentinel,2-3-4-8,NA,15000,2016-2018,4-9,yes,no,13866,13866,172,44,0.5,0.76,0.87,0.08,0.49,
sentinel,2-3-4-8,NA,15000,2016-2018,4-9,yes,yes,13866,13866,172,44,0.43,0.74,0.86,0.13,0.5,
landsat,NA,1-2-3-4-5-6-7,15000,2014-2018,all,no,no,75114,48648,152,38,0.54,0.93,0.96,0.4,0.65,
landsat,NA,1-2-3-4-5-6-7,15000,2014-2018,all,yes,no,23220,13882,148,37,0.39,0.92,0.96,0.37,0.64,
landsat,NA,1-2-3-4-5-6-7,15000,2014-2018,all,yes,yes,23220,13882,148,37,0.47,0.73,0.86,-0.04,0.37,
landsat,NA,1-2-3-4-5-6-7,15000,2014-2018,4-9,no,no,74971,74609,272,68,0.61,0.85,0.92,0.27,0.61,
landsat,NA,1-2-3-4-5-6-7,15000,2014-2018,4-9,yes,no,23190,22881,272,68,0.48,0.81,0.9,0.1,0.48,
landsat,NA,1-2-3-4-5-6-7,15000,2014-2018,4-9,yes,yes,23190,22881,272,68,0.42,0.72,0.85,-0.06,0.42,
landsat,NA,1-2-3-4-5-6-7,15000,2013-2018,4-9,no,no,89926,89926,345,87,0.56,0.77,0.88,0.13,0.49,
landsat,NA,1-2-3-4-5-6-7,15000,2013-2018,4-9,yes,no,27812,27812,345,87,0.56,0.82,0.91,0.09,0.51,
landsat,NA,1-2-3-4-5-6-7,15000,2013-2018,4-9,yes,yes,27812,27812,345,87,0.46,0.82,0.91,-0.04,0.5,
landsat,NA,1-2-3-4-5-6-7,15000,2016-2018,all,no,no,45088,24457,69,18,0.54,0.78,0.89,0.06,0.33,
landsat,NA,1-2-3-4-5-6-7,15000,2016-2018,all,yes,no,13934,7088,64,17,0.42,0.74,0.87,-0.3,0.2,
landsat,NA,1-2-3-4-5-6-7,15000,2016-2018,all,yes,yes,13934,7088,64,17,0.33,0.93,0.97,0.17,0.56,
landsat,NA,1-2-3-4-5-6-7,15000,2016-2018,4-9,no,no,44960,44478,158,40,0.44,0.75,0.87,0.14,0.57,
landsat,NA,1-2-3-4-5-6-7,15000,2016-2018,4-9,yes,no,13906,13491,158,40,0.1,0.56,0.76,-0.15,0.28,
landsat,NA,1-2-3-4-5-6-7,15000,2016-2018,4-9,yes,yes,13906,13491,158,40,0.17,0.4,0.64,-0.15,0.11,
combined,2-3-4,1-2-3-4-5-6-7,15000,2016-2018,all,no,no,45088,22937,60,15,0.72,0.93,0.97,0.15,0.47,
combined,2-3-4,1-2-3-4-5-6-7,15000,2016-2018,all,yes,no,13934,6546,52,14,0.6,1,1,0.23,0.52,
combined,2-3-4,1-2-3-4-5-6-7,15000,2016-2018,all,yes,yes,13934,6546,52,14,0.6,0.93,0.98,0.11,0.39,
combined,2-3-4,1-2-3-4-5-6-7,15000,2016-2018,4-9,no,no,44960,44478,158,40,0.58,0.93,0.97,0.11,0.36,
combined,2-3-4,1-2-3-4-5-6-7,15000,2016-2018,4-9,yes,no,13906,13491,158,40,0.48,0.94,0.97,0.03,0.18,
combined,2-3-4,1-2-3-4-5-6-7,15000,2016-2018,4-9,yes,yes,13906,13491,158,40,0.38,0.92,0.97,0.04,0.2,
combined,2-3-4-8,1-2-3-4-5-6-7,15000,2016-2018,all,no,no,45088,21960,55,14,0.7,1,1,0.1,0.33,
combined,2-3-4-8,1-2-3-4-5-6-7,15000,2016-2018,all,yes,no,13934,5999,45,12,0.79,1,1,0.2,0.47,
combined,2-3-4-8,1-2-3-4-5-6-7,15000,2016-2018,all,yes,yes,13934,5999,45,12,0.48,1,1,0.21,0.47,
combined,2-3-4-8,1-2-3-4-5-6-7,15000,2016-2018,4-9,no,no,44960,44478,158,40,0.57,0.92,0.96,0.13,0.4,
combined,2-3-4-8,1-2-3-4-5-6-7,15000,2016-2018,4-9,yes,no,13906,13491,158,40,0.47,0.94,0.98,0.05,0.23,
combined,2-3-4-8,1-2-3-4-5-6-7,15000,2016-2018,4-9,yes,yes,13906,13491,158,40,0.42,0.92,0.97,0.06,0.24,